Id,Subsector
AFIN,Banking
AINM,Insurance
ALLI,Banking
AMMB,Banking
ANCR,Other Financials
APES,Other Financials
BIMB,Banking
BMYS,Other Financials
CIMB,Banking
ECMI,Other Financials
ELKD,Other Financials
HLBB,Banking
HLCB,Banking
INSS,Other Financials
JHHS,Other Financials
KCDS,Other Financials
KNNK,Other Financials
LOND,Insurance
MAAS,Insurance
MBBM,Banking
MBSS,Other Financials
MNLF,Insurance
MNRB,Insurance
MPHB,Insurance
PACO,Insurance
PUBM,Banking
REDI,Other Financials
RHBC,Banking
TAKA,Insurance
TUNE,Insurance
